,0991739D UW Equity,1255459D UW Equity,1664784D UW Equity,1797629D UW Equity,1832555D UQ Equity,1878384D UQ Equity,1893407D UW Equity,1934798D UW Equity,2083506D UW Equity,ACAD UW Equity,ACOR UW Equity,ACRX UQ Equity,ADMS UQ Equity,ADVM UQ Equity,AEGR UW Equity,AERI UQ Equity,AFFX UW Equity,AFFY UW Equity,AFMD UQ Equity,AGIO UW Equity,AGTC UQ Equity,AKBA UQ Equity,ALDR UQ Equity,ALIM UQ Equity,ALKS UW Equity,ALNY UW Equity,ALXN UW Equity,AMAG UW Equity,AMGN UW Equity,AMLN UW Equity,AMPH UW Equity,AMRI UW Equity,AMRN UQ Equity,ANIP UQ Equity,ANTH UQ Equity,ARAV UW Equity,ARCT UQ Equity,ARDX UQ Equity,ARIA UW Equity,ARNA UW Equity,ARQL UQ Equity,ARWR UW Equity,ASPX UQ Equity,ASTX UW Equity,ATRA UW Equity,AUXL UW Equity,AVDL UQ Equity,AVEO UW Equity,AVNR UW Equity,BCRX UW Equity,BIIB UW Equity,BLCM UQ Equity,BLUE UW Equity,BMRN UW Equity,BPMC UW Equity,CADX UW Equity,CARA UQ Equity,CASC UW Equity,CBIO UW Equity,CBPO UW Equity,CBST UW Equity,CCXI UW Equity,CELG UW Equity,CERS UQ Equity,CGEN UQ Equity,CHMA UW Equity,CHRS UQ Equity,CLDX UW Equity,CLVSQ UW Equity,CMRX UQ Equity,CNCE UQ Equity,COLL UW Equity,CORV UQ Equity,CRIS UQ Equity,CXRXF UW Equity,DBVT UW Equity,DNDNQ UW Equity,DRNA UW Equity,DRRX UQ Equity,DYAX UQ Equity,ECYT UW Equity,EGLTQ UQ Equity,EGRX UQ Equity,EIGR UQ Equity,ELDN UQ Equity,ENDPQ UW Equity,ENTA UW Equity,ENZN UW Equity,EPZM UW Equity,ESPR UQ Equity,EXEL UW Equity,FGEN UW Equity,FLXN UQ Equity,FMI UW Equity,FOLD UQ Equity,FOMX UQ Equity,FPRX UW Equity,FRTX UW Equity,FURX UW Equity,GERN UW Equity,GEVA UW Equity,GHDX UW Equity,GILD UW Equity,GRFS UW Equity,GWPH UQ Equity,HALO UW Equity,HGSI UW Equity,HITK UW Equity,HPTX UW Equity,HZNP UW Equity,IBRX UW Equity,ICEL UQ Equity,ICPT UW Equity,IDIX UW Equity,ILMN UW Equity,IMDZ UQ Equity,IMGN UW Equity,IMMU UQ Equity,IMUX UW Equity,INCY UW Equity,INFI UW Equity,INO UW Equity,INSM UW Equity,INSYQ UQ Equity,INVA UW Equity,IONS UW Equity,IOVA UQ Equity,IPXL UW Equity,IRWD UW Equity,ISEE UW Equity,ISTA UQ Equity,ITMN UW Equity,JAZZ UW Equity,JNP UQ Equity,JUNO UW Equity,KDNY UW Equity,KITE UW Equity,KMPH UQ Equity,KPTI UW Equity,KYTH UW Equity,LGND UQ Equity,LIFE UW Equity,LMNX UW Equity,LRMR UW Equity,LUMO UQ Equity,LXRX UW Equity,MACK UQ Equity,MAPP UW Equity,MAXY UW Equity,MCRB UW Equity,MDCO UW Equity,MDGL UQ Equity,MDVN UW Equity,MGNX UW Equity,MLNTQ UW Equity,MNKD UQ Equity,MNTA UW Equity,MYGN UW Equity,MYL UW Equity,NBIX UW Equity,NDRM UQ Equity,NEOS UQ Equity,NKTR UW Equity,NLTX UQ Equity,NPSP UW Equity,NSTG UQ Equity,NVAX UW Equity,NVLNF UW Equity,OCUL UQ Equity,OMER UQ Equity,OMPI UW Equity,ONCE UW Equity,ONCT UQ Equity,ONTX UW Equity,ONXX UW Equity,OPTR UW Equity,OREXQ UW Equity,OSIR UQ Equity,OTIC UW Equity,PACB UW Equity,PCRX UW Equity,PCYC UW Equity,PDLI UW Equity,PETX UQ Equity,PGNX UW Equity,POZN UW Equity,PRAH UW Equity,PRGO UW Equity,PRTA UW Equity,PSTV UQ Equity,PTCT UW Equity,PTLA UW Equity,PTXTQ UQ Equity,QCOR UW Equity,QGEN UW Equity,QURE UW Equity,RARE UW Equity,RCKT UQ Equity,RCPT UW Equity,RDEA UW Equity,RDUS UQ Equity,REGN UW Equity,RGEN UW Equity,RGLS UQ Equity,RIGL UW Equity,RLYP UW Equity,RPTP UQ Equity,RVNC UQ Equity,SAGE UQ Equity,SAVA UW Equity,SCLN UW Equity,SCMP UQ Equity,SGEN UW Equity,SGMO UW Equity,SGNT UW Equity,SGYPQ UW Equity,SHPG UW Equity,SIGA UQ Equity,SLRX UQ Equity,SLXP UW Equity,SNTS UW Equity,SPPI UW Equity,SQNM UW Equity,SRPT UW Equity,SRRA UQ Equity,SUPN UQ Equity,SVA UW Equity,SVNTQ UQ Equity,SYNH UW Equity,TBPH UQ Equity,TECH UW Equity,TEVA UW Equity,TLGTQ UW Equity,TPST UQ Equity,TRVN UW Equity,TSRO UW Equity,TSRX UQ Equity,TTPH UW Equity,TVTX UQ Equity,UTHR UW Equity,VNDA UQ Equity,VPHM UW Equity,VRTX UW Equity,VSTM UQ Equity,VTAE UQ Equity,VVUSQ UW Equity,WCRX UW Equity,XBIT UW Equity,XLRN UQ Equity,XNCR UQ Equity,XNPT UW Equity,XOMA UQ Equity,ZGNX UQ Equity,ZSPH UQ Equity
23/12/2011,57.03,39.92,123.02,7.24,2.06,,7.79,,,,23.45,,,,,,4.15,6.58,,,,,,,17.56,8.19,69.08,19.34,63.7,11.44,,,6.88,0.4825,,,,,11.74,2,5.67,,,1.66,,19.5,,16.96,1.86,2.48,110.79,,,33.77,,3.65,,7.68,5.49,10.3,39.72,,67.32,,,,,,,,,,2.13,4.5,,,7.57,,1.18,1.32,3.41,,,,,35,,6.76,,,4.66,,,,,,,4.5,,1.42,,25.32,39.27,5.6,,9.58,7.31,38.15,,,,,,7.77,29.1,,12.14,3.39,,14.82,,,,,22,6.97,,20.22,11.95,,7.01,11.64,,2.63,,,,,,,11.79,,21.39,,,1.17,,14.01,5.63,,19.12,4.86,45.64,,,2.69,17.15,20.31,21.82,8.19,,,5.46,,6.51,,1.28,7.24,,,10.1,,2.96,,43.6,11.8,,5.19,,2.8,,,6.16,,8.82,,,100.96,,2.02,,,,42.8,13.64,,,,,17.51,,55.57,,,8.06,,,,,3.8,4.4,,16.61,2.74,21.9,,103.72,2.48,,47.77,3.35,14.77,4.26,0.79,,,2.37,2.3,,,68.24,41.67,,,,,,,,46.56,4.59,27.77,32.84,,,9.17,15.72,,,,4.03,,,
30/12/2011,59.12,38.91,128.2,7.19,2.16,,7.62,,,,23.84,,,,,,4.09,6.61,,,,,,,17.36,8.15,71.5,18.91,64.21,11.38,,,7.49,0.502125,,,,,12.25,1.87,5.64,,,1.89,,19.93,,17.2,2.05,2.47,110.05,,,34.38,,3.95,,7.58,5.57,10.46,39.62,,67.6,,,,,,,,,,2.63,4.68,,,7.6,,1.18,1.36,3.76,,,,,34.53,,6.7,,,4.735,,,,,,,4.41,,1.48,,25.39,40.93,5.53,,9.51,7.39,38.89,,,,,,7.445,30.48,,11.58,3.33,,15.01,,,,,22.1,7.21,,20.17,11.97,,7.05,12.6,,2.5,,,,,,,11.87,,21.23,,,1.29,,13.17,5.63,,18.64,4.67,46.11,,,2.5,17.39,20.94,21.46,8.5,,,5.595,,6.59,,1.26,7.2,,,10.16,,3.36,,43.95,12.24,,5.35,,2.8,,,6.2,,8.54,,,97.3,,2.2,,,,41.58,13.81,,,,,16.81,,55.43,,,7.89,,,,,3.8,4.29,,16.715,2.84,21,,103.9,2.52,,47.85,3.31,14.63,4.45,0.745,,,2.2,2.23,,,68.26,40.36,,,,,,,,47.25,4.76,27.39,33.21,,,9.75,15.13,,,,3.81,,,
06/01/2012,60.06,42.56,131.37,7.69,2.06,,7.92,,,,25.68,,,,,,4.31,7.17,,,,,,,16.68,8.67,74.45,18.54,64.75,11.02,,,6.75,0.4893125,,,,,13.52,1.62,5.63,,,1.94,,19.42,,13.97,2.2,2.41,115.5,,,36.61,,4.01,,7,5.6,10.12,40.17,,67.22,,,,,,,,,,2.61,4.39,,,12.35,,0.735125,1.3,3.6,,,,,33.8,,6.54,,,4.79,,,,,,,3.64,,1.67,,25.6,42.79,5.39,,9.22,7.72,42.24,,,,,,7.05,31.77,,11.77,3.37,,16.3,,,,,20.2,7.27,,20.2,10.78,,7.18,15.05,,2.48,,,,,,,11.59,,20.61,,,1.2,,14.53,5.48,,18.25,4.39,49.1,,,2.56,18.51,21.19,21.5,8.17,,,5.73,,6.32,,1.37,6.99,,,10.21,,3.58,,43.55,11.93,,4.43,,3,,,6.13,,8.54,,,96.06,,2.28,,,,38.95,14.5,,,,,15.55,,65.79,,,8.06,,,,,3.73,4.23,,17.42,3.03,21.23,,99.06,2.75,,47.87,3.5,14.61,4.21,0.821,,,2.16,2.43,,,68.06,43.84,,,,,,,,48.52,4.56,27.93,34.05,,,10.16,16.02,,,,4.04,,,
13/01/2012,60.39,46.07,,8.82,2.38,,12.37,,,,26.61,,,,,,4.63,7.09,,,,,,,18.16,9.88,74.62,17.28,67.6,11.79,,,7.17,0.5396875,,,,,14.42,1.65,5.96,,,2.08,,19.97,,14.83,2.76,2.85,116.03,,,34.99,,4.02,,6.78,5.9,9.69,41.89,,72.63,,,,,,,,,,2.49,4.52,,,14.03,,0.77,1.39,3.59,,,,,36.05,,6.73,,,4.96,,,,,,,3.67,,1.69,,27.99,44.89,5.51,,9.8,8.86,36.76,,,,,,14.42,35.71,,12.28,3.45,,16.87,,,,,18.1,7.6,,20.17,12.1,,7.27,15.32,,2.4,,,,,,,12.09,,20.63,,,1.46,,13.79,5.51,,18.99,4.61,55.72,,,2.74,19.26,20.68,21.71,8.61,,,6.72,,6.8,,1.31,6.99,,,10.19,,3.87,,44.09,12.42,,4.78,,3.61,,,6.11,,8.51,,,97.02,,2.58,,,,36.48,15.09,,,,,14.99,,78.92,,,8.16,,,,,3.68,4.23,,17.65,3.27,21.85,,99.52,2.57,,49.56,4.54,15.17,4.5,0.94,,,2.27,2.48,,,67.98,44.55,,,,,,,,47.01,4.73,29.28,36.81,,,12.2,16.2,,,,4.34,,,
20/01/2012,63.21,45.37,,8.18,2.41,,9.48,,,,25.42,,,,,,4.76,7.1,,,,,,,18.02,10.34,73.58,16.64,69.57,11.43,,,8.26,0.679875,,,,,14.25,1.62,7.02,,,2.12,,19.9,,14.42,2.83,2.85,118.18,,,35.2,,3.98,,6.47,6.02,9.24,39.63,,73.84,,,,,,,,,,2.48,4.74,,,13.37,,0.794,1.59,3.48,,,,,37.43,,6.85,,,5,,,,,,,3.54,,1.73,,27.17,47.44,6.16,,10.72,8.93,37.51,,,,,,14.1,36.3,,13.55,3.5,,17.28,,,,,18.15,7.9,,20,13.1,,8.16,14.36,,1.58,,,,,,,12.26,,19.84,,,1.37,,14.39,5.49,,19.09,4.79,51.14,,,2.82,18.91,22.22,21.56,8.14,,,6.03,,6.81,,1.32,6.79,,,10.62,,4.04,,41.68,12.24,,5.59,,3.55,,,6.33,,9.28,,,98.52,,2.75,,,,36.6,15.42,,,,,17.29,,78.33,,,8.29,,,,,4.18,4.55,,17.61,3.2,22.26,,97.35,3.22,,46.11,4.47,15.23,4.36,0.82,,,2.17,2.42,,,70.41,45.83,,,,,,,,49.25,5.15,29.89,36.31,,,12.04,17.47,,,,4.31,,,
27/01/2012,67.24,48.55,,10.91,2.38,,10.56,,,,26.29,,,,,,4.66,7.27,,,,,,,19.1,10.91,75.47,16.7,68.33,12.14,,,7.93,0.6453125,,,,,14.96,1.6,7.47,,,2.73,,19.78,,13.25,2.92,3.48,118.56,,,35.85,,4.21,,6.74,6.13,9.62,39.78,,73.36,,,,,,,,,,2.35,5.18,,,14.64,,0.7901875,1.66,3.46,,,,,37.73,,7.1,,,5.62,,,,,,,3.59,,1.97,,28.39,48.72,6.49,,10.46,10.53,39.57,,,,,,14.32,51.66,,13.83,3.47,,17.94,,,,,18.83,8.25,,19.05,14.09,,7.96,14.71,,0.862875,,,,,,,12.32,,19.94,,,1.57,,14.19,5.45,,19.5,4.75,55,,,3.28,15.19,23.29,21.04,8.78,,,6.14,,7.33,,1.45,6.83,,,10.24,,3.94,,41.51,12.55,,5.7,,4.37,,,6.4,,9.68,,,96.07,,3.47,,,,36.51,16.39,,,,,18.7,,85.54,,,9.71,,,,,4.41,4.75,,19.62,3.3,22.26,,100.18,3.29,,47.31,4.75,14,4.22,0.92,,,2.21,2.52,,,69.97,44.91,,,,,,,,48.95,5.08,29.86,35.95,,,12.04,16.69,,,,4.2,,,
03/02/2012,67.72,49.57,,10.935,3.01,,11.73,,,,26.43,,,,,,5.14,10.375,,,,,,,19.16,13.01,78.875,17.25,69.28,17.1,,,8.79,0.74,,,,,15.48,1.87,8.14,,,2.81,,20.07,,13.5,3.31,4.03,121.88,,,37.53,,4.27,,7.91,6.38,10.74,41.61,,73.21,,,,,,,,,,2.41,5.01,,,14.17,,0.78,1.63,3.64,,,,,36.63,,7.76,,,6.31,,,,,,,3.64,,2.08,,29.34,54.695,6.92,,11.5,10.16,40.45,,,,,,11.68,51.84,,14.61,3.84,,17.66,,,,,18.595,8.8,,22.31,14.98,,8.22,16,,0.8103125,,,,,,,13.83,,20.89,,,1.67,,14.98,5.73,,21.9,4.98,73.93,,,2.17,16.55,23.84,22.44,9.48,,,7.17,,7.99,,1.49,7.16,,,10.79,,6.13,,42.625,13.21,,5.95,,4.83,,,6.48,,10.03,,,93.66,,4.2,,,,36.61,15.91,,,,,19.43,,96.86,,,10.48,,,,,4.29,4.99,,19.53,4.55,22.38,,99.7,3.75,,49.52,4.94,14.35,4.92,1,,,2.18,2.26,,,66.3,45.71,,,,,,,,50.21,5.33,30.33,36.78,,,12.47,16.54,,,,4.71,,,
10/02/2012,69.22,49.52,,10.95,2.66,,9.9,,,,25.44,,,,,,4.65,10.47,,,,,,,17.97,12.15,83.445,15.85,67.34,17.17,,,8.4,0.851,,,,,14.64,1.93,7.73,,,2.04,,19.28,,13.65,2.92,3.84,118.14,,,37.21,,4.03,,8.4,6.07,9.58,40.43,,71.75,,,,,,,,,,2.41,4.77,,,14.05,,0.8,1.43,3.53,,,,,35.2,,7.43,,,6.15,,,,,,,3.22,,1.99,,26.92,53.76,6.71,,11.135,9.51,39.84,,,,,,10.92,53.85,,13.325,3.67,,16.95,,,,,16.53,8.33,,21.93,15.35,,8.12,14.5,,0.784,,,,,,,14.7,,20.97,,,1.7,,15.26,5.49,,20.75,5.05,67.935,,,2.32,15.265,23.28,22.78,8.62,,,6.84,,7.4,,1.35,7.62,,,11.13,,5.7,,41.78,13.54,,4.82,,4.46,,,6.38,,9.51,,,93.31,,3.63,,,,35,15.15,,,,,18.765,,102.08,,,9.43,,,,,4.05,5.1,,18.6,4.23,20.94,,104.91,3.5,,48.18,4.85,14.09,4.58,1.11,,,2.17,2.16,,,67.71,44.17,,,,,,,,49.05,5.09,30.61,36.13,,,12.34,16.42,,,,4.3,,,
17/02/2012,68.11,45.92,,10.97,2.86,,11.04,,,,25.73,,,,,,4.61,10.55,,,,,,,18.38,12.2,81,17.12,67.78,17.7,,,8.57,0.7863125,,,,,14.9,1.83,7.83,,,2.01,,20.01,,13.76,2.97,4.52,116.45,,,36.2,,4.12,,8.6,7.2,10.3,41.85,,74.66,,,,,,,,,,2.38,4.61,,,14.3,,0.78,1.47,3.77,,,,,35.25,,7.61,,,5.78,,,,,,,3.36,,2.15,,28.39,47,6.66,,11.73,9.25,39.03,,,,,,11.91,51.82,,14.1,3.8,,17.57,,,,,18.54,8.49,,23.12,14.79,,8.3,14.79,,0.88,,,,,,,15.22,,22.21,,,1.8,,16.24,5.51,,21,5.46,66.05,,,2.28,15.16,23.8,23.42,8.57,,,7.04,,7.01,,1.42,8.01,,,11.96,,5.8,,38.97,13.39,,4.91,,4.66,,,6.29,,9.58,,,94.9,,3.56,,,,33.53,15.5,,,,,19.23,,103.28,,,9.65,,,,,4.01,4.96,,17.71,5.33,22.24,,108.07,3.12,,48.17,4.61,13.6,4.66,1.06,,,2.22,2.03,,,71.21,44.65,,,,,,,,47.27,4.71,32.44,39.24,,,11.99,17,,,,4.39,,,
24/02/2012,69.48,47.69,,10.97,2.8,,10.72,,,,27.05,,,,,,4.49,10.38,,,,,,,17.29,13.42,84.63,16.85,67.73,17.99,,,8.99,0.7076875,,,,,15.06,1.84,7.44,,,1.96,,20.19,,13.62,2.87,4.31,116.39,,,35,,4.2,,8.79,6.71,9.95,43.02,,74.89,,,,,,,,,,2.27,4.5,,,14.86,,0.75,1.48,3.59,,,,,36.3,,7.57,,,5.77,,,,,,,3.35,,2.02,,28.92,45.26,6.95,,11.66,8.47,39.42,,,,,,12.51,51.22,,13.98,3.63,,16.94,,,,,18.27,8.92,,23.49,14.69,,8.3,14,,0.73,,,,,,,14.76,,22.67,,,1.82,,16.32,5.56,,22.04,5.18,65.01,,,2.23,15.71,23.87,23.48,8.12,,,6.98,,6.85,,1.37,7.82,,,11.84,,3.43,,38.52,12.7,,4.86,,4.3,,,6.45,,10.05,,,96.24,,3.31,,,,38.9,16.02,,,,,20.93,,103.22,,,10.19,,,,,3.88,4.8,,17.57,5.52,21.89,,105.43,3.1,,46.11,5.03,14.25,4.49,1.01,,,2.19,2.12,,,71.38,44.59,,,,,,,,47.93,4.75,31.74,38.39,,,22.13,16.33,,,,4.3,,,
