Dates	Ticker	Weight
30/12/2011	0991739D UW Equity	0.008443
30/12/2011	1255459D UW Equity	0.013441
30/12/2011	1664784D UW Equity	0.112670
30/12/2011	1797629D UW Equity	0.002976
30/12/2011	1832555D UQ Equity	0.000401
30/12/2011	1872828D UQ Equity	0.000000
30/12/2011	1893407D UQ Equity	0.002396
30/12/2011	ACOR UW Equity	0.004151
30/12/2011	AFFX UW Equity	0.001157
30/12/2011	AFFY UW Equity	0.001245
30/12/2011	AKRXQ UW Equity	0.000000
30/12/2011	ALKS UW Equity	0.008819
30/12/2011	ALNY UW Equity	0.001587
30/12/2011	ALXN UW Equity	0.061789
30/12/2011	AMAG UW Equity	0.001841
30/12/2011	AMGN UW Equity	0.079078
30/12/2011	AMLN UW Equity	0.003509
30/12/2011	AMRN UQ Equity	0.003508
30/12/2011	ANIP UQ Equity	0.000242
30/12/2011	ARIA UQ Equity	0.008477
30/12/2011	ARNA UW Equity	0.000965
30/12/2011	ARQL UQ Equity	0.000946
30/12/2011	ASTX UW Equity	0.000816
30/12/2011	AUXL UW Equity	0.004171
30/12/2011	AVEO UQ Equity	0.003264
30/12/2011	AVNR UQ Equity	0.001107
30/12/2011	BCRX UW Equity	0.000486
30/12/2011	BIIB UW Equity	0.046084
30/12/2011	BMRN UW Equity	0.021322
30/12/2011	CADX UQ Equity	0.001490
30/12/2011	CASC UQ Equity	0.001412
30/12/2011	CBIO UW Equity	0.000865
30/12/2011	CBPO UW Equity	0.001211
30/12/2011	CBST UW Equity	0.012815
30/12/2011	CELG UW Equity	0.058569
30/12/2011	CORV UQ Equity	0.000780
30/12/2011	CRIS UQ Equity	0.001556
30/12/2011	DNDNQ UW Equity	0.005051
30/12/2011	DRRX UQ Equity	0.000452
30/12/2011	DYAX UQ Equity	0.000681
30/12/2011	ECYT UQ Equity	0.000559
30/12/2011	ENDPQ UW Equity	0.008794
30/12/2011	ENZN UW Equity	0.001872
30/12/2011	EXEL UW Equity	0.003631
30/12/2011	FRTX UQ Equity	0.001448
30/12/2011	GERN UW Equity	0.001094
30/12/2011	GHDX UW Equity	0.003526
30/12/2011	GILD UW Equity	0.047657
30/12/2011	GRFS UW Equity	0.004025
30/12/2011	HALO UQ Equity	0.004499
30/12/2011	HGSI UW Equity	0.003532
30/12/2011	HITK UW Equity	0.002302
30/12/2011	IDIX UQ Equity	0.003294
30/12/2011	ILMN UW Equity	0.015038
30/12/2011	IMGN UW Equity	0.003025
30/12/2011	IMMU UQ Equity	0.001166
30/12/2011	INCY UQ Equity	0.009718
